latitude,longitude,bathrooms,bedrooms,floorAreaSqM,livingRooms,distance_to_tube,distance_to_bus,no_of_bus_1km,saleEstimate_currentPrice
51.5191935,-0.1495283,1.0,2.0,86.0,1.0,0.630340,0.508231,7,1673000.0
51.498062,-0.2710319,2.0,3.0,114.0,2.0,0.222604,0.222604,4,951000.0
51.4127559,-0.1313948,1.0,3.0,92.0,1.0,1.438998,1.438998,0,566000.0
51.4534618,0.000699,1.0,3.0,98.0,2.0,1.655379,1.655379,0,732000.0
51.597888,0.0354724,1.0,2.0,64.0,1.0,2.730360,0.870816,1,288000.0
51.5526594,-0.0542506,1.0,1.0,62.0,1.0,0.630521,0.630521,3,474000.0
51.4861477,0.0663618,2.0,2.0,76.0,1.0,0.489335,0.489335,2,465000.0
51.4375477,-0.0388883,2.0,4.0,184.0,3.0,0.992080,0.992080,1,1301000.0
51.4902292,0.1167015,2.0,2.0,119.0,1.0,0.325539,0.325539,1,585000.0
51.4758993,-0.1193553,1.0,2.0,74.0,1.0,1.462043,0.508171,3,353000.0
51.549541,-0.0419354,1.0,2.0,83.0,1.0,0.269479,1.023574,0,465000.0
51.5054765,-0.3152477,2.0,6.0,114.0,2.0,1.014172,0.671594,2,1399000.0
51.5776307,-0.0639522,1.0,4.0,119.0,2.0,0.656842,0.656842,3,1012000.0
51.440603,-0.0200225,2.0,2.0,49.0,1.0,0.608402,1.774414,0,327000.0
51.6603782,-0.0042533,2.0,3.0,114.0,2.0,3.172985,3.172985,0,565000.0
51.4663351,-0.0518935,1.0,2.0,76.0,1.0,0.067509,0.067509,2,592000.0
51.5111267,-0.2109458,2.0,3.0,176.0,3.0,0.758374,0.536736,5,2562000.0
51.4848488,0.0912888,1.0,2.0,95.0,2.0,0.677597,0.677597,1,416000.0
51.6032254,-0.1730282,1.0,2.0,69.0,1.0,2.391372,1.265309,0,344000.0
51.5580778,-0.0741445,1.0,1.0,49.0,1.0,0.392722,0.779657,1,328000.0
51.5844148,-0.036569,1.0,2.0,82.0,1.0,0.441449,0.441449,2,514000.0
51.4543421,-0.1384056,3.0,4.0,208.0,2.0,1.311577,0.650434,2,2190000.0
51.4676008,-0.1545535,1.0,2.0,88.0,1.0,1.101053,1.101053,0,928000.0
51.488219,0.1099821,2.0,3.0,122.0,1.0,0.835545,0.835545,1,507000.0
51.4090945,-0.2277708,1.0,2.0,70.0,1.0,0.924398,0.924398,1,362000.0
51.4955835,-0.1345081,1.0,1.0,57.0,1.0,0.587774,0.444553,4,543000.0
51.5452897,-0.0675594,1.0,3.0,134.0,2.0,0.533560,0.533560,4,1691000.0
51.4595666,-0.1056202,2.0,2.0,80.0,1.0,0.723680,0.668174,3,233000.0
51.4886596,-0.2516884,2.0,4.0,142.0,1.0,1.683977,0.745186,2,1274000.0
51.450206,0.0660575,1.0,2.0,81.0,1.0,4.454642,4.454642,0,368000.0
51.5043073,-0.3265443,2.0,5.0,141.0,1.0,1.059117,0.970574,1,965000.0
51.5697034,-0.0290777,1.0,2.0,71.0,1.0,1.288602,1.288602,0,484000.0
51.4962504,0.108437,1.0,3.0,96.0,1.0,1.077125,1.077125,0,417000.0
51.4059356,-0.0685233,1.0,2.0,64.0,1.0,0.758196,0.758196,1,386000.0
51.5915678,-0.1057033,1.0,2.0,68.0,1.0,1.676555,0.271346,2,478000.0
51.5244352,-0.1938891,1.0,3.0,118.0,1.0,1.298651,0.619160,3,1079000.0
51.4925566,-0.1156021,2.0,3.0,112.0,1.0,1.143887,0.731211,3,788000.0
51.6161243,-0.023847,1.0,2.0,63.0,1.0,1.844350,1.844350,0,295000.0
51.4489782,0.0596839,1.0,2.0,82.0,2.0,4.631811,4.631811,0,376000.0
51.5965431,-0.0738474,1.0,4.0,147.0,2.0,0.429718,0.429718,2,807000.0
51.4563924,0.033186,1.0,3.0,101.0,1.0,3.273421,3.273421,0,467000.0
51.6251541,-0.0196693,1.0,3.0,95.0,2.0,2.244743,2.244743,0,570000.0
51.5117401,-0.2214438,1.0,1.0,49.0,1.0,0.713451,0.198916,4,744000.0
51.5096661,-0.3239701,2.0,2.0,65.0,1.0,0.437276,0.437276,1,397000.0
51.4888703,0.0062823,1.0,3.0,72.0,1.0,0.717794,0.962942,1,628000.0
51.6176556,-0.0234627,1.0,3.0,99.0,2.0,1.911004,1.911004,0,550000.0
51.5077266,0.1277736,1.0,1.0,36.0,1.0,1.546495,1.546495,0,147000.0
51.5918862,-0.077206,2.0,3.0,106.0,2.0,0.525552,0.525552,1,591000.0
51.4782544,-0.1125763,1.0,3.0,96.0,1.0,1.519677,0.391665,2,525000.0
51.4535045,-0.2295069,2.0,4.0,190.0,1.0,3.949038,1.430299,0,1131000.0
51.5821676,-0.0366224,1.0,3.0,112.0,1.0,0.331665,0.331665,2,850000.0
51.4331222,0.0464249,2.0,2.0,87.0,1.0,3.668515,3.668515,0,451000.0
51.5753081,-0.0121517,1.0,3.0,95.0,2.0,0.684328,0.684328,2,630000.0
51.5667549,-0.006248,1.0,2.0,73.0,1.0,0.351789,0.351789,1,546000.0
51.5503345,-0.2323122,1.0,2.0,62.0,1.0,1.601763,0.500585,2,374000.0
51.5777972,-0.008334,1.0,2.0,93.0,1.0,0.896346,0.896346,2,405000.0
51.4421294,-0.1871868,1.0,1.0,52.0,1.0,1.874087,1.384803,0,400000.0
51.4801465,-0.116718,2.0,4.0,213.0,2.0,1.847455,0.349634,3,2093000.0
51.6053991,-0.2064588,1.0,2.0,104.0,1.0,3.085224,0.388492,1,730000.0
51.5621269,-0.0825148,1.0,2.0,53.0,1.0,0.760178,0.760178,1,491000.0
51.4992335,0.0305946,1.0,1.0,77.0,1.0,0.408896,0.668437,1,564000.0
51.6078261,-0.1057057,1.0,2.0,69.0,1.0,2.420469,1.180574,0,469000.0
51.5816367,0.0289137,2.0,2.0,77.0,1.0,2.219017,0.527344,2,431000.0
51.417694,-0.0568527,1.0,1.0,58.0,1.0,0.274938,0.274938,2,375000.0
51.4278927,0.0492552,1.0,1.0,49.0,1.0,3.100464,3.100464,0,249000.0
51.4740911,-0.2095154,3.0,5.0,189.0,2.0,1.734662,0.592795,2,2126000.0
51.4892666,-0.1823591,4.0,4.0,208.0,1.0,0.916217,0.585163,4,3914000.0
51.4847491,0.0797036,1.0,3.0,87.0,2.0,0.647928,0.647928,2,441000.0
51.4743325,-0.2505455,1.0,2.0,70.0,1.0,2.395033,2.312194,0,724000.0
51.5317088,-0.1132349,1.0,1.0,60.0,1.0,0.980971,0.504214,2,781000.0
51.4575955,-0.2211439,3.0,4.0,177.0,1.0,3.302361,0.725180,1,869000.0
51.5596719,-0.2092856,2.0,2.0,79.0,1.0,0.301177,0.301177,1,554000.0
51.595114,-0.2410696,1.0,1.0,49.0,1.0,1.667998,0.619575,1,326000.0
51.4530849,-0.1937273,1.0,1.0,48.0,1.0,2.102284,1.260900,0,390000.0
51.583305,-0.0064767,1.0,3.0,82.0,1.0,0.500423,0.500423,2,715000.0
51.5719691,-0.1357541,2.0,5.0,156.0,2.0,1.051335,0.819422,2,1472000.0
51.434925,-0.1818687,1.0,2.0,60.0,1.0,1.168194,1.168194,0,394000.0
51.4828264,0.013146,1.0,1.0,59.0,1.0,0.378420,0.378420,1,396000.0
51.609715,-0.0655341,1.0,2.0,55.0,1.0,0.659842,0.663771,1,348000.0
51.4479233,-0.1504085,2.0,2.0,69.0,1.0,0.572453,0.572453,2,611000.0
51.4558101,-0.1972614,1.0,1.0,54.0,1.0,2.146105,1.023918,0,395000.0
51.4657378,-0.0119036,3.0,4.0,159.0,2.0,0.124249,0.124249,2,818000.0
51.5014712,-0.0957389,1.0,2.0,108.0,1.0,0.745022,0.159592,5,649000.0
51.4939129,-0.0734507,1.0,1.0,41.0,1.0,1.507113,0.806738,1,315000.0
51.5836891,-0.0351134,2.0,3.0,129.0,2.0,0.351237,0.351237,2,897000.0
51.5393254,-0.1734569,2.0,2.0,127.0,2.0,0.436770,0.494304,2,1373000.0
51.4956434,-0.242613,1.0,1.0,54.0,1.0,1.933676,0.297439,3,449000.0
51.5232912,0.0434599,1.0,3.0,221.0,2.0,1.552041,1.454715,0,441000.0
51.534947,-0.1654566,1.0,2.0,44.0,1.0,1.172797,0.589247,1,680000.0
51.4439064,-0.0132888,1.0,3.0,112.0,2.0,0.895115,2.049162,0,603000.0
51.5124312,-0.1852271,3.0,3.0,224.0,3.0,0.689261,0.188331,6,4255000.0
51.4793419,-0.2689576,1.0,1.0,76.0,1.0,1.120817,1.120817,0,582000.0
51.5448259,-0.1703809,2.0,4.0,194.0,1.0,0.664935,0.337104,3,2117000.0
51.4376126,-0.0352453,1.0,3.0,98.0,2.0,0.991992,1.240999,0,573000.0
51.5358887,-0.1624195,2.0,3.0,103.0,1.0,1.286184,0.811786,1,1361000.0
51.3928414,-0.0722806,1.0,2.0,58.0,1.0,0.505131,0.505131,4,390000.0
51.5926045,-0.0241027,1.0,2.0,85.0,1.0,1.137209,1.137209,0,524000.0
51.5532157,-0.0963331,3.0,4.0,229.0,3.0,0.556670,0.556670,3,1965000.0
51.498913,-0.195576,2.0,3.0,173.0,2.0,1.004838,0.306290,3,2632000.0
51.5938618,-0.0946642,1.0,3.0,125.0,1.0,1.701097,0.681577,1,782000.0
51.4521412,-0.1171649,2.0,4.0,168.0,1.0,1.049849,1.049849,0,1322000.0
51.4584423,-0.2076517,2.0,2.0,74.0,1.0,2.551352,0.246920,1,654000.0
51.5788944,-0.1346914,4.0,4.0,310.0,1.0,1.498499,0.787897,1,2219000.0
51.5781398,-0.1552312,1.0,2.0,87.0,1.0,2.398402,0.644003,1,974000.0
51.5514404,-0.0506964,1.0,3.0,106.0,1.0,0.615791,0.615791,2,608000.0
51.6282484,-0.1225248,2.0,4.0,241.0,2.0,2.120759,0.575703,1,2609000.0
51.5031893,-0.0726558,2.0,2.0,121.0,1.0,0.804698,0.804698,3,1350000.0
51.4591961,-0.0171164,1.0,3.0,118.0,1.0,0.729986,0.729986,1,733000.0
51.4886362,0.1042826,1.0,3.0,115.0,2.0,1.203435,1.203435,0,476000.0
51.4318686,0.0594607,1.0,3.0,95.0,2.0,3.670060,3.670060,0,420000.0
51.4752475,-0.1841257,1.0,3.0,55.0,1.0,0.073085,0.073085,2,627000.0
51.4875653,-0.130759,2.0,3.0,130.0,1.0,1.322059,0.312482,3,1776000.0
51.5834983,-0.1172252,1.0,1.0,58.0,1.0,1.325607,1.256918,0,442000.0
51.5512572,-0.1176042,2.0,2.0,79.0,1.0,0.880013,0.293850,3,563000.0
51.5125973,-0.1727541,2.0,2.0,115.0,1.0,0.468843,0.167052,5,2539000.0
51.5902626,-0.1421804,1.0,1.0,44.0,1.0,2.655057,1.418498,0,372000.0
51.6310581,-0.0024485,1.0,1.0,44.0,1.0,0.900869,0.900869,1,258000.0
51.4735863,-0.1220423,3.0,5.0,246.0,3.0,1.144795,0.201429,2,1507000.0
51.5607268,-0.1170689,1.0,2.0,125.0,1.0,0.907824,0.717380,4,993000.0
