Acceleration,Battery,Label
11.7,50.0,0
7.9,39.0,0
8.6,70.5,1
7.4,94.0,1
9.0,46.3,0
3.9,81.2,1
4.9,82.5,1
7.4,74.0,1
9.2,46.3,0
9.0,50.8,0
5.9,82.5,1
7.1,49.8,0
9.3,50.8,0
5.0,75.0,1
7.3,60.5,0
2.8,97.0,1
9.4,96.0,1
7.9,77.0,1
8.6,64.7,1
5.9,94.9,1
7.9,64.0,0
5.3,64.0,0
3.5,74.0,1
7.5,63.0,0
7.8,64.8,0
11.0,44.0,0
9.5,52.0,0
8.9,98.0,1
6.6,58.0,0
6.7,77.0,1
9.1,50.8,0
4.5,102.0,1
7.0,77.0,1
8.9,70.5,1
6.5,79.0,1
4.8,97.0,1
7.9,61.7,0
5.0,107.0,1
6.5,86.0,1
5.3,96.0,1
8.6,49.0,0
5.7,87.0,1
7.0,50.8,1
8.7,58.0,0
8.2,59.3,0
5.3,79.0,1
7.4,71.0,0
7.0,37.8,0
5.2,95.0,1
8.0,44.9,0
9.0,50.8,0
7.4,60.0,0
8.1,48.1,0
6.4,73.0,1
5.7,49.0,0
7.3,58.0,0
5.5,101.7,1
6.7,49.8,0
9.8,50.8,1
10.0,40.0,0
